project_code,title,commitment_in_u.a,country,starting_date,status,source_of_financing,sector,sovereign
P-MG-H00-002,Madagascar - Industrialisation and Financial Sector Support Project (PAISF),12080000.0,Madagascar,2020-10-28,Approved,African Development Fund,Finance,Sovereign
P-Z1-H00-063,Multinational - Domestic debt markets development in the West African Monetary Zone,1500000.0,Multinational,2020-10-13,Implementation,Fragile States Facility,Finance,Sovereign
P-MG-HAZ-001,Madagascar - SME Business Linkages Program,1000000.0,Madagascar,2020-05-15,Implementation,Fragile States Facility,Finance,Sovereign
P-MU-H00-004,Mauritius - Stock Exchange Mauritius (SEM) Project,430000.0,Mauritius,2020-04-27,Implementation,Middle Income Countries Fund,Finance,Sovereign
P-AO-HAB-009,Angola - Line of Credit to « Banco Millennium Atlantico SA »,23415605.04,Angola,2020-04-15,Approved,African Development Bank,Finance,Non Sovereign
P-MR-HZ0-005,Mauritania - Financial Infrastructure Modernisation Support Project (PAMIF) - Additionnal Loan,400000.0,Mauritania,2020-04-01,Approved,African Development Fund,Finance,Sovereign
P-Z1-H00-057,Multinational - WAEMU Regional Mortgage Refinancing Company (CRRH),7978171.72,Multinational,2020-03-18,Approved,African Development Bank,Finance,Non Sovereign
P-Z1-HZ0-037,Multinational - Small- and Medium-sized Enterprise (SME) Business Linkages on East Africa Crude Oil Pipeline Project,1086959.78,Multinational,2020-02-11,Implementation,Fund for African Private Sector Assistance,Finance,Sovereign
P-Z1-HZ0-045,Uganda and Tanzania : MSMEs Business Linkage on East African Crude Oil Pipeline,363451.33,Multinational,2020-02-11,Approved,Fund for African Private Sector Assistance,Finance,Sovereign
P-EG-H00-005,Egypt - Line of Credit to «Corporate Leasing Company (Corplease) »,10976064.86,Egypt,2020-01-29,Approved,African Development Bank,Finance,Non Sovereign
P-ML-HZ0-001,Mali - African Trade Insurance Agency (ATI): Country Membership Programme,7290000.0,Mali,2019-12-05,Approved,African Development Fund,Finance,Sovereign
P-KE-HAB-030,Kenya - Equity Group Holdings Plc,73173765.74,Kenya,2019-11-28,Approved,African Development Bank,Finance,Non Sovereign
P-MA-HAA-012,"Morocco - ""Fonds dEquipement Communal (FEC)""",79781717.22,Morocco,2019-11-28,Approved,African Development Bank,Finance,Non Sovereign
P-Z1-HB0-064,Multinational  Project for Digitisation of Government Payments in the Mano River Union (DIGIGOV_MRU) countries  Guinea,1258000.0,Multinational,2019-11-25,Implementation,Fragile States Facility,Finance,Sovereign
P-Z1-HB0-071,SIERRA LEONE - Government Payments Digitization in Mano River Union,279000.0,Multinational,2019-11-25,Approved,Fragile States Facility,Finance,Sovereign
